nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,pmid
NCT02665793,,2016-01-25,,,2019-10-19,2016-01-27,2016-01-28,Estimate,,,,,,,2019-10-19,2019-10-22,Actual,August 2016,Actual,2016-08-31,October 2019,2019-10-31,"May 19, 2017",Actual,2017-05-19,"May 19, 2017",Actual,2017-05-19,,Interventional,TRACEextension,,Mechanisms Underlying Peanut Allergic Reactions in TRACE Peanut Study Participants: Extension Study,Mechanisms Underlying the Change in Threshold or Severity of Peanut-allergic Reactions in TRACE Peanut Study Participants - Extension Study,Completed,,Not Applicable,17,Actual,Imperial College London,,2,,,FALSE,,,,TRUE,,,,,,,,,,,Yes,De-identified data will be made public through the Integrated approaches to food allergen and allergy management (iFAAM) collaboration,2022-06-24 11:12:29,2022-06-24 11:12:29,OTHER,,,,,33715235
NCT02661477,,2016-01-13,,,2016-04-21,2016-01-20,2016-01-22,Estimate,,,,,,,2016-04-21,2016-04-22,Estimate,May 2016,,2016-05-31,April 2016,2016-04-30,May 2018,Anticipated,2018-05-31,May 2018,Anticipated,2018-05-31,,Interventional,Hypogamma Int1,,Clinical and Virological Efficacy of Pegylated Interferon Alpha in the Treatment of Rhinovirus Infection in Patients With Primary Hypogammaglobulinemia: Randomized Controlled Trial,Clinical and Virological Efficacy of Pegylated Interferon Alpha in the Treatment of Rhinovirus Infection in Patients With Primary Hypogammaglobulinemia: Randomized Controlled Trial,Unknown status,Not yet recruiting,Phase 2,20,Anticipated,Turku University Hospital,,2,,,FALSE,,,,FALSE,,,,,,,,,,,No,,2022-06-24 11:16:24,2022-06-24 11:16:24,OTHER_GOV,,,,,
NCT02656615,,2016-01-04,,,2017-03-22,2016-01-13,2016-01-15,Estimate,,,,,,,2017-03-22,2017-03-24,Actual,January 2016,,2016-01-31,March 2017,2017-03-31,February 2017,Actual,2017-02-28,February 2017,Actual,2017-02-28,,Interventional,ABI-RE,,Abiraterone-Rechallenge Study for CRPC Patients,An Open Label Biomarker Driven Phase II Clinical Trial of Abiraterone Acetate (AA) Re-Challenge in Patients With Metastatic Castration-Resistant Prostate Cancer and Prior Response to AA,Terminated,,Phase 2,4,Actual,Cantonal Hospital of St. Gallen,,1,,Lack of Patient accrual,FALSE,,,,FALSE,,,,,,,,,,,No,,2022-06-24 11:20:09,2022-06-24 11:20:09,OTHER,,,,,
NCT02653235,,2016-01-07,,,2016-01-08,2016-01-08,2016-01-12,Estimate,,,,,,,2016-01-08,2016-01-12,Estimate,January 2016,,2016-01-31,January 2016,2016-01-31,January 2017,Anticipated,2017-01-31,September 2016,Anticipated,2016-09-30,,Interventional,,,Impact of Immune Challenge on Triple Network Connectivity in Humans,"Exploring the Impact of Peripheral Immune Challenge on the ""Triple Network"" and ""Dorsal Nexus"" Functional Connectivity in Humans",Unknown status,Not yet recruiting,Not Applicable,20,Anticipated,NHS Greater Glasgow and Clyde,,2,,,FALSE,,,,FALSE,,,,,,,,,,,No,,2022-06-24 11:22:39,2022-06-24 11:22:39,OTHER,,,,,32532687
NCT02647489,,2016-01-04,,,2018-06-22,2016-01-05,2016-01-06,Estimate,,,,,,,2018-06-22,2018-06-26,Actual,May 2016,,2016-05-31,October 2016,2016-10-31,"November 10, 2017",Actual,2017-11-10,"November 10, 2017",Actual,2017-11-10,,Interventional,PAMVAC,,Safety and Immunogenicity of the Placental Malaria Vaccine Candidate PAMVAC Variously Adjuvanted,"Safety and Immunogenicity of the Placental Malaria Vaccine Candidate PAMVAC Adjuvanted With Alhydrogel, GLA-SE or GLA-LSQ in Healthy Malaria-Naïve Adults and Healthy, Lifelong Malaria-Exposed, Nulligravid Adult Women",Completed,,Phase 1,66,Actual,University Hospital Tuebingen,,11,,,FALSE,,,,TRUE,,,,,,,,,,,,,2022-06-24 11:27:14,2022-06-24 11:27:14,OTHER,,,,,34611164
NCT02631889,,2015-12-10,,,2015-12-12,2015-12-12,2015-12-16,Estimate,,,,,,,2015-12-12,2015-12-16,Estimate,March 2016,,2016-03-31,December 2015,2015-12-31,March 2017,Anticipated,2017-03-31,March 2017,Anticipated,2017-03-31,,Interventional,,,Study to Assess the Effectiveness of Transcollation Technology to Reduce Bleeding in Lung Surgery,"A Prospective, Randomized, Controlled Study to Assess the Effectiveness of Transcollation Technology to Reduce Bleeding in Lung Surgery",Unknown status,Not yet recruiting,Not Applicable,170,Anticipated,University of Roma La Sapienza,,2,,,FALSE,,,,FALSE,,,,,,,,,,,Undecided,,2022-06-24 11:39:22,2022-06-24 11:39:22,OTHER,,,,,23685830
NCT02626117,,2015-12-01,,,2015-12-07,2015-12-07,2015-12-10,Estimate,,,,,,,2015-12-07,2015-12-10,Estimate,July 2013,,2013-07-31,September 2015,2015-09-30,January 2016,Anticipated,2016-01-31,December 2015,Anticipated,2015-12-31,,Interventional,,,Laser De-epithelialization for Epithelial Exclusion in Root Coverage Procedure: a Clinical Study,Laser De-epithelialization for Epithelial Exclusion in Root Coverage Procedure: a Clinical Study,Unknown status,Recruiting,Phase 4,20,Anticipated,Krishnadevaraya College of Dental Sciences & Hospital,,2,,,FALSE,,,,TRUE,,,,,,,,,,,No,,2022-06-24 11:44:16,2022-06-24 11:44:16,OTHER,,,,,22754897
NCT02012387,,2013-11-18,,,2019-02-08,2013-12-09,2013-12-16,Estimate,,,,,,,2019-02-08,2019-02-12,Actual,January 2014,Actual,2014-01-31,April 2017,2017-04-30,June 2017,Actual,2017-06-30,September 2016,Actual,2016-09-30,,Interventional,CUN-OMAL-UCOL,,Efficacy Study of Omalizumab in Cholinergic Urticaria,"Multicenter Randomized, Double-blind, Placebo-controlled Parallel Clinical Trial to Assess Efficacy and Safety of Omalizumab (Xolair®) in a New Indication: Cholinergic Urticarial",Completed,,Phase 2,24,Actual,"Clinica Universidad de Navarra, Universidad de Navarra",,3,,,FALSE,,,,TRUE,,,,,,,,,,,,,2022-06-11 0:56:29,2022-06-11 0:56:29,,,,,,9449908
NCT02624505,,2015-12-04,,,2019-07-23,2015-12-04,2015-12-08,Estimate,,,,,,,2019-07-23,2019-07-25,Actual,December 2015,,2015-12-31,July 2019,2019-07-31,November 2016,Actual,2016-11-30,October 2016,Actual,2016-10-31,,Interventional,,,Pharmacodynamic Bioequivalence of Metered Dose Inhalers of Albuterol Sulfate in Patients With Stable Mild Asthma,To Compare the Bronchoprotective Effects of the Test and Reference Metered Dose Inhalers (MDIs) Containing Albuterol Sulfate Using Methacholine Bronchoprovocation Challenge Testing in Stable Mild Asthma Patients.,Completed,,Phase 3,110,Actual,Cipla Ltd.,,4,,,FALSE,,,,FALSE,,,,,,,,,,,No,Undecided,2022-06-24 11:45:27,2022-06-24 11:45:27,INDUSTRY,,,,,
NCT02615353,,2015-11-04,,,2020-10-29,2015-11-25,2015-11-26,Estimate,,,,,,,2020-10-29,2020-10-30,Actual,"May 13, 2016",Actual,2016-05-13,October 2020,2020-10-31,"March 15, 2020",Actual,2020-03-15,"March 15, 2020",Actual,2020-03-15,,Interventional,,,Preventing Diabetes in Latino Youth,Preventing Diabetes in Latino Youth,Completed,,Not Applicable,117,Actual,Arizona State University,,2,,,FALSE,,,,TRUE,,,,,,,,,,,Yes,,2022-06-24 11:53:10,2022-06-24 11:53:10,OTHER,,,,,34865631
NCT03930849,,2019-04-16,2021-09-28,,2021-12-08,2019-04-25,2019-04-29,Actual,2021-12-08,2022-02-18,Actual,,,,2021-12-08,2022-02-18,Actual,"June 21, 2019",Actual,2019-06-21,December 2021,2021-12-31,"June 30, 2020",Actual,2020-06-30,"May 31, 2020",Actual,2020-05-31,,Interventional,,,Pilot Study of Annie Text Messaging for Depression Treatment Adherence,Pilot Study of Technology Assisted Depression Treatment Adherence,Completed,,Not Applicable,53,Actual,VA Office of Research and Development,,3,,,FALSE,,,,FALSE,FALSE,FALSE,,,FALSE,,,,,,No,Original VA funded datasets will be retained on VA servers behind VA firewalls. These data will be provided to interested parties following proper filing and verification of a FOIA request and approval by the Privacy Officer. These data will be maintained as required by VA data retention policies.,2022-06-26 9:59:31,2022-06-26 9:59:31,FED,,,,,33627234
NCT02604862,,2015-11-09,,,2020-02-10,2015-11-11,2015-11-16,Estimate,,,,,,,2020-02-10,2020-02-13,Actual,May 2016,Actual,2016-05-31,February 2020,2020-02-29,September 2018,Actual,2018-09-30,September 2018,Actual,2018-09-30,,Interventional,FIB ONE,,Imaging FIB ONE in the Human Lung Using Endomicroscopy,Exploratory Clinical Study to Image the Intrapulmonary Microdosing of FIBroproliferation ONE (FIB ONE) Using Endomicroscopy,Completed,,Early Phase 1,18,Actual,University of Edinburgh,,2,,,FALSE,,,,TRUE,,,,,,,,,,,No,,2022-06-24 12:01:17,2022-06-24 12:01:17,OTHER,,,,,
NCT01348282,,2011-04-18,,,2014-03-31,2011-05-04,2011-05-05,Estimate,,,,,,,2014-03-31,2014-04-01,Estimate,May 2011,,2011-05-31,March 2014,2014-03-31,March 2014,Actual,2014-03-31,March 2014,Actual,2014-03-31,,Interventional,,,Efficacy and Safety of Two Pharmacologic Strategies on Neurocognitive Impairment in HIV Infection. The TRIANT-TE Study,Exploratory Controlled Prospective Randomized Trial to Compare the Efficacy and Safety of Two Different Pharmacology Strategies on Neurocognitive Impairment in HIV Infection. The TRIANT-TE Study,Completed,,Phase 4,33,Actual,"Fundación FLS de Lucha Contra el Sida, las Enfermedades Infecciosas y la Promoción de la Salud y la Ciencia",,3,,,FALSE,,,,FALSE,,,,,,,,,,,,,2022-06-08 12:43:23,2022-06-08 12:43:23,,,,,,
NCT02579200,,2015-03-10,,,2016-10-14,2015-10-15,2015-10-19,Estimate,,,,,,,2016-10-14,2016-10-18,Estimate,November 2015,,2015-11-30,October 2016,2016-10-31,July 2017,Anticipated,2017-07-31,June 2017,Anticipated,2017-06-30,,Interventional,,,Inspiratory Muscle Training for Breathless Patients With Chronic Obstructive Pulmonary Disease and Heart Failure,"Inspiratory Muscle Training for Dyspneic Patients With COPD-HF Overlap: a Multicenter, Randomized Controlled Trial",Unknown status,Recruiting,Phase 4,50,Anticipated,Queen's University,,2,,,FALSE,,,,FALSE,,,,,,,,,,,No,,2022-06-24 12:22:52,2022-06-24 12:22:52,OTHER,,,,,
NCT04391270,,2020-05-04,,,2022-05-16,2020-05-12,2020-05-18,Actual,,,,,,,2022-05-16,2022-05-20,Actual,"July 1, 2022",Anticipated,2022-07-01,May 2022,2022-05-31,"October 31, 2022",Anticipated,2022-10-31,"July 30, 2022",Anticipated,2022-07-30,,Interventional,,,"A Blended Intervention to Promote Physical Activity, Health and Work Productivity Among Office Employees","A Blended Intervention to Promote Physical Activity, Health and Work Productivity Among Office Employees Using Intervention Mapping: A Study Protocol for a Cluster-randomized Controlled Trial",Not yet recruiting,,Not Applicable,495,Anticipated,Hong Kong Baptist University,,3,,,FALSE,,,,,FALSE,FALSE,,,,,,,,,No,,2022-06-24 20:23:34,2022-06-24 20:23:34,OTHER,,,,,32586293
NCT02012998,,2013-12-11,,,2017-09-08,2013-12-11,2013-12-17,Estimate,,,,,,,2017-09-08,2017-09-11,Actual,January 2014,Actual,2014-01-31,September 2017,2017-09-30,February 2015,Actual,2015-02-28,February 2015,Actual,2015-02-28,,Interventional,,,Study of the Immunogenicity and Safety of a Challenge Dose of HBVAXPRO in Healthy Children Vaccinated 10 Years Ago With 3 Doses of HEXAVAC or INFANRIX HEXA,"An Open-label, Controlled, Multi-centre Study of the Immunogenicity and Safety of a Challenge Dose of HBVAXPRO to Explore the Anamnestic Immune Response in Healthy Children Vaccinated 10 Years Ago With a Primary Series (3 Doses) of Either HEXAVAC or INFANRIX HEXA",Completed,,Phase 3,751,Actual,Sanofi,,1,,,FALSE,,,,FALSE,,,,,,,,,,,,,2022-06-11 0:57:07,2022-06-11 0:57:07,,,,,,28624307
NCT02576561,,2015-10-09,,,2017-10-24,2015-10-13,2015-10-15,Estimate,,,,,,,2017-10-24,2017-10-25,Actual,November 2015,,2015-11-30,October 2017,2017-10-31,September 2018,Anticipated,2018-09-30,May 2018,Anticipated,2018-05-31,,Interventional,,,Safety and Efficacy Study of TVGV-1 Vaccine to Treat HPV Induced Cervical HSIL,"Phase 2a Double-Blind, Randomized, Parallel Group, Dose-Ranging Study to Assess the Safety and Efficacy of Three Doses of TVGV-1 Vaccine Compared to Its Adjuvant, GPI-0100, in Subjects With Histologically Confirmed HPV Induced Cervical HSIL",Unknown status,"Active, not recruiting",Phase 2,10,Actual,THEVAX Genetics Vaccine,,9,,,FALSE,,,,TRUE,,,,,,,,,,,,,2022-06-24 12:25:05,2022-06-24 12:25:05,INDUSTRY,,,,,
NCT02575599,,2015-10-09,,,2017-06-01,2015-10-12,2015-10-14,Estimate,,,,,,,2017-06-01,2017-06-02,Actual,"September 1, 2018",Anticipated,2018-09-01,November 2016,2016-11-30,"January 1, 2020",Anticipated,2020-01-01,"September 1, 2019",Anticipated,2019-09-01,,Interventional,DiaWeb,,Web-based Guided Self-Determination Intervention for Adults With Type 2 Diabetes in General Practice,Assessment of a Web-based Guided Self-Determination Intervention for Adults With Type 2 Diabetes in General Practice,Unknown status,Not yet recruiting,Not Applicable,172,Anticipated,University of Stavanger,,2,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,,,,,,2022-06-24 12:25:51,2022-06-24 12:25:51,OTHER,,,,,27965253
NCT05269134,,2022-02-25,,,2022-02-25,2022-02-25,2022-03-07,Actual,,,,,,,2022-02-25,2022-03-07,Actual,April 2022,Anticipated,2022-04-30,February 2022,2022-02-28,October 2025,Anticipated,2025-10-31,October 2024,Anticipated,2024-10-31,,Interventional,ACTIVE2,,Bacteriophage Therapy in Patients With Prosthetic Joint Infections Who Previously Failed Surgery for PJI,"A Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate the Safety and Efficacy of Phage Therapy Versus Placebo in Conjunction With DAIR in Patients With Chronic Prosthetic Joint Infection Who Previously Failed Surgery for PJI",Not yet recruiting,,Phase 2/Phase 3,280,Anticipated,"Adaptive Phage Therapeutics, Inc.",,2,,,,,,,TRUE,TRUE,FALSE,,,,,,,,,,,2022-06-08 13:22:56,2022-06-08 13:22:56,,,,,,
NCT03897673,,2019-03-28,,,2021-11-11,2019-03-29,2019-04-01,Actual,,,,,,,2021-11-11,2021-11-12,Actual,"September 1, 2019",Actual,2019-09-01,November 2021,2021-11-30,"July 1, 2022",Anticipated,2022-07-01,"July 1, 2022",Anticipated,2022-07-01,,Interventional,OptiM,,Optimizing Benefits While Reducing Risks of Iron in Malaria-endemic Areas,Optimizing Benefits While Reducing Risks of Iron in Malaria-endemic Areas,Enrolling by invitation,,Not Applicable,600,Anticipated,University of Minnesota,,3,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,,2022-06-24 20:24:23,2022-06-24 20:24:23,OTHER,,,,,
NCT04983823,,2021-07-29,,,2022-03-03,2021-07-29,2021-07-30,Actual,,,,,,,2022-03-03,2022-03-07,Actual,"November 18, 2021",Actual,2021-11-18,August 2021,2021-08-31,December 2024,Anticipated,2024-12-31,December 2024,Anticipated,2024-12-31,,Interventional,,,Persistent Cardiovascular Effects of COVID-19 Viral Infection Trial (PERCEIVE),Persistent Cardiovascular Effects of COVID-19 Viral Infection Trial (PERCEIVE): A Randomised Controlled Trial of the Role of Optimal Cardioprotection Strategies to Prevent Heart Failure,Recruiting,,Not Applicable,820,Anticipated,Baker Heart and Diabetes Institute,,2,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,Data sharing based available on application to the study PI,2022-06-08 13:25:27,2022-06-08 13:25:27,,,,,,
NCT02561689,,2014-12-02,,,2021-09-27,2015-09-25,2015-09-28,Estimate,,,,,,,2021-09-27,2021-09-28,Actual,January 2014,Actual,2014-01-31,September 2021,2021-09-30,December 2022,Anticipated,2022-12-31,July 2022,Anticipated,2022-07-31,,Interventional,SEALANT-DK,,SEALANT-DK: Longevity and Efficacy of 6 Resin Sealants Used for Sealing Permanent Teeth in Children and Adolescents,SEALANT-DK: Longevity and Efficacy of 6 Resin Sealants Used for Sealing Permanent Teeth in Children and Adolescents,"Active, not recruiting",,Not Applicable,248,Actual,University of Copenhagen,,2,,,FALSE,,,,TRUE,,,,,,,,,,,,,2022-06-24 12:38:01,2022-06-24 12:38:01,OTHER,,,,,
NCT02552537,,2015-09-14,,,2017-05-10,2015-09-16,2015-09-17,Estimate,,,,,,,2017-05-10,2017-05-11,Actual,September 2015,,2015-09-30,May 2017,2017-05-31,March 2017,Actual,2017-03-31,March 2017,Actual,2017-03-31,,Interventional,iFAAM-PPI,,iFAAM: The Impact of Proton-pump Inhibitors (Antacids) on Threshold Dose Distributions,Integrated Approaches to Food Allergen and Allergy Risk Management: iFAAM: The Impact of Proton-pump Inhibitors (Antacids) on Threshold Dose Distributions,Completed,,Phase 4,44,Actual,University of Zurich,,2,,,FALSE,,,,TRUE,,,,,,,,,,,,,2022-06-24 12:46:25,2022-06-24 12:46:25,OTHER,,,,,
NCT02551523,,2015-09-15,,,2018-10-11,2015-09-15,2015-09-16,Estimate,,,,,,,2018-10-11,2018-10-12,Actual,November 2016,,2016-11-30,October 2018,2018-10-31,February 2021,Anticipated,2021-02-28,October 2018,Anticipated,2018-10-31,,Interventional,,,Early Simplified: A Trial to Compare the Efficacy of Standard of Care Combination Antiretroviral Therapy With a Simplified Dolutegravir Monotherapy in Patients With a Primary HIV-1 Infection,"A Prospective, Randomised, Controlled, Open-label, Non-inferiority Trial to Compare the Efficacy of Standard of Care Combination Antiretroviral Therapy With a Simplified Dolutegravir Monotherapy in Patients With a Primary HIV-1 Infection Under Suppressive Early Standard of Care Antiretroviral Therapy",Unknown status,"Active, not recruiting",Phase 2,101,Actual,University of Zurich,,2,,,FALSE,,,,FALSE,,,,,,,,,,,,,2022-06-24 12:47:04,2022-06-24 12:47:04,OTHER,,,,,30601950
NCT02550184,,2015-09-09,,,2015-10-27,2015-09-14,2015-09-15,Estimate,,,,,,,2015-10-27,2015-10-28,Estimate,October 2015,,2015-10-31,October 2015,2015-10-31,September 2016,Anticipated,2016-09-30,February 2016,Anticipated,2016-02-29,,Interventional,,,Ultrasonography in the Emergency Department,Ultrasonography in the Emergency Department. A Randomised Controlled Multicenter Study.,Unknown status,Not yet recruiting,Not Applicable,288,Anticipated,Odense University Hospital,,2,,,FALSE,,,,TRUE,,,,,,,,,,,,,2022-06-24 12:48:27,2022-06-24 12:48:27,OTHER,,,,,9171143
