title,param_value,param_type,nct_id,classification,subjects_affected,subjects_at_risk,event_count,adverse_event_term
,,,NCT00574548,,0.0,160.0,,Intervertebral disc degeneration
,,,NCT00574548,,1.0,267.0,,Intervertebral disc degeneration
,,,NCT00574548,,0.0,223.0,,Intervertebral disc degeneration
,,,NCT00574548,,0.0,478.0,,Lumbar spinal stenosis
,,,NCT00574548,,0.0,237.0,,Lumbar spinal stenosis
,,,NCT00574548,,0.0,478.0,,Lumbar spinal stenosis
,,,NCT00574548,,0.0,237.0,,Lumbar spinal stenosis
,,,NCT00574548,,0.0,160.0,,Lumbar spinal stenosis
,,,NCT00574548,,0.0,267.0,,Lumbar spinal stenosis
,,,NCT00574548,,0.0,223.0,,Lumbar spinal stenosis
,,,NCT00574548,,0.0,160.0,,Lumbar spinal stenosis
,,,NCT00574548,,1.0,267.0,,Lumbar spinal stenosis
,,,NCT00574548,,0.0,223.0,,Lumbar spinal stenosis
,,,NCT00574548,,1.0,478.0,,Breast cancer
,,,NCT00574548,,0.0,237.0,,Breast cancer
,,,NCT00574548,,0.0,478.0,,Breast cancer
,,,NCT00574548,,0.0,237.0,,Breast cancer
,,,NCT00574548,,0.0,160.0,,Breast cancer
,,,NCT00574548,,0.0,267.0,,Breast cancer
,,,NCT00574548,,0.0,223.0,,Breast cancer
,,,NCT00574548,,0.0,160.0,,Breast cancer
,,,NCT00574548,,0.0,267.0,,Breast cancer
,,,NCT00574548,,0.0,223.0,,Breast cancer
,,,NCT00574548,,1.0,478.0,,Squamous cell carcinoma of skin
,,,NCT00574548,,0.0,237.0,,Squamous cell carcinoma of skin
,,,NCT00574548,,1.0,478.0,,Squamous cell carcinoma of skin
,,,NCT00574548,,0.0,237.0,,Squamous cell carcinoma of skin
,,,NCT00574548,,0.0,160.0,,Squamous cell carcinoma of skin
,,,NCT00574548,,0.0,267.0,,Squamous cell carcinoma of skin
,,,NCT00574548,,0.0,223.0,,Squamous cell carcinoma of skin
,,,NCT00574548,,0.0,160.0,,Squamous cell carcinoma of skin
,,,NCT00574548,,0.0,267.0,,Squamous cell carcinoma of skin
,,,NCT00574548,,0.0,223.0,,Squamous cell carcinoma of skin
,,,NCT00574548,,0.0,478.0,,Malignant melanoma
,,,NCT00574548,,0.0,237.0,,Malignant melanoma
,,,NCT00574548,,1.0,478.0,,Malignant melanoma
,,,NCT00574548,,1.0,237.0,,Malignant melanoma
,,,NCT00574548,,0.0,160.0,,Malignant melanoma
,,,NCT00574548,,0.0,267.0,,Malignant melanoma
,,,NCT00574548,,0.0,223.0,,Malignant melanoma
,,,NCT00574548,,0.0,160.0,,Malignant melanoma
,,,NCT00574548,,0.0,267.0,,Malignant melanoma
,,,NCT00574548,,0.0,223.0,,Malignant melanoma
,,,NCT00574548,,0.0,478.0,,Basal cell carcinoma
,,,NCT00574548,,0.0,237.0,,Basal cell carcinoma
,,,NCT00574548,,1.0,478.0,,Basal cell carcinoma
,,,NCT00574548,,0.0,237.0,,Basal cell carcinoma
,,,NCT00574548,,0.0,160.0,,Basal cell carcinoma
,,,NCT00574548,,0.0,267.0,,Basal cell carcinoma
,,,NCT00574548,,0.0,223.0,,Basal cell carcinoma
,,,NCT00574548,,1.0,160.0,,Basal cell carcinoma
,,,NCT00574548,,0.0,267.0,,Basal cell carcinoma
,,,NCT00574548,,0.0,223.0,,Basal cell carcinoma
,,,NCT00574548,,0.0,478.0,,Gastrointestinal stromal tumour
,,,NCT00574548,,0.0,237.0,,Gastrointestinal stromal tumour
,,,NCT00574548,,1.0,478.0,,Gastrointestinal stromal tumour
,,,NCT00574548,,0.0,237.0,,Gastrointestinal stromal tumour
,,,NCT00574548,,0.0,160.0,,Gastrointestinal stromal tumour
,,,NCT00574548,,0.0,267.0,,Gastrointestinal stromal tumour
,,,NCT00574548,,0.0,223.0,,Gastrointestinal stromal tumour
,,,NCT00574548,,0.0,160.0,,Gastrointestinal stromal tumour
,,,NCT00574548,,0.0,267.0,,Gastrointestinal stromal tumour
,,,NCT00574548,,0.0,223.0,,Gastrointestinal stromal tumour
,,,NCT00574548,,0.0,478.0,,Prostate cancer
,,,NCT00574548,,0.0,237.0,,Prostate cancer
,,,NCT00574548,,0.0,478.0,,Prostate cancer
,,,NCT00574548,,1.0,237.0,,Prostate cancer
,,,NCT00574548,,0.0,160.0,,Prostate cancer
,,,NCT00574548,,1.0,267.0,,Prostate cancer
,,,NCT00574548,,1.0,223.0,,Prostate cancer
,,,NCT00574548,,2.0,160.0,,Prostate cancer
,,,NCT00574548,,0.0,267.0,,Prostate cancer
,,,NCT00574548,,0.0,223.0,,Prostate cancer
,,,NCT00574548,,0.0,478.0,,Benign neoplasm of skin
,,,NCT00574548,,0.0,237.0,,Benign neoplasm of skin
,,,NCT00574548,,0.0,478.0,,Benign neoplasm of skin
,,,NCT00574548,,0.0,237.0,,Benign neoplasm of skin
,,,NCT00574548,,0.0,160.0,,Benign neoplasm of skin
,,,NCT00574548,,0.0,267.0,,Benign neoplasm of skin
,,,NCT00574548,,0.0,223.0,,Benign neoplasm of skin
,,,NCT00574548,,0.0,160.0,,Benign neoplasm of skin
,,,NCT00574548,,0.0,267.0,,Benign neoplasm of skin
,,,NCT00574548,,1.0,223.0,,Benign neoplasm of skin
,,,NCT00574548,,0.0,478.0,,Uterine cancer
,,,NCT00574548,,0.0,237.0,,Uterine cancer
,,,NCT00574548,,0.0,478.0,,Uterine cancer
,,,NCT00574548,,0.0,237.0,,Uterine cancer
,,,NCT00574548,,0.0,160.0,,Uterine cancer
,,,NCT00574548,,0.0,267.0,,Uterine cancer
,,,NCT00574548,,0.0,223.0,,Uterine cancer
,,,NCT00574548,,1.0,160.0,,Uterine cancer
,,,NCT00574548,,0.0,267.0,,Uterine cancer
,,,NCT00574548,,0.0,223.0,,Uterine cancer
,,,NCT00574548,,0.0,478.0,,Renal failure
,,,NCT00574548,,0.0,237.0,,Renal failure
,,,NCT00574548,,1.0,478.0,,Renal failure
,,,NCT00574548,,0.0,237.0,,Renal failure
,,,NCT00574548,,0.0,160.0,,Renal failure
,,,NCT00574548,,0.0,267.0,,Renal failure
,,,NCT00574548,,0.0,223.0,,Renal failure
,,,NCT00574548,,0.0,160.0,,Renal failure
,,,NCT00574548,,0.0,267.0,,Renal failure
,,,NCT00574548,,0.0,223.0,,Renal failure
,,,NCT00574548,,0.0,478.0,,Endometriosis
,,,NCT00574548,,0.0,237.0,,Endometriosis
,,,NCT00574548,,1.0,478.0,,Endometriosis
,,,NCT00574548,,0.0,237.0,,Endometriosis
,,,NCT00574548,,0.0,160.0,,Endometriosis
,,,NCT00574548,,0.0,267.0,,Endometriosis
,,,NCT00574548,,0.0,223.0,,Endometriosis
,,,NCT00574548,,0.0,160.0,,Endometriosis
,,,NCT00574548,,0.0,267.0,,Endometriosis
,,,NCT00574548,,0.0,223.0,,Endometriosis
,,,NCT00574548,,0.0,478.0,,Ovarian adhesion
,,,NCT00574548,,0.0,237.0,,Ovarian adhesion
,,,NCT00574548,,1.0,478.0,,Ovarian adhesion
,,,NCT00574548,,0.0,237.0,,Ovarian adhesion
,,,NCT00574548,,0.0,160.0,,Ovarian adhesion
,,,NCT00574548,,0.0,267.0,,Ovarian adhesion
,,,NCT00574548,,0.0,223.0,,Ovarian adhesion
,,,NCT00574548,,0.0,160.0,,Ovarian adhesion
,,,NCT00574548,,0.0,267.0,,Ovarian adhesion
,,,NCT00574548,,0.0,223.0,,Ovarian adhesion
,,,NCT00574548,,0.0,478.0,,Uterine polyp
,,,NCT00574548,,0.0,237.0,,Uterine polyp
,,,NCT00574548,,1.0,478.0,,Uterine polyp
,,,NCT00574548,,0.0,237.0,,Uterine polyp
,,,NCT00574548,,0.0,160.0,,Uterine polyp
,,,NCT00574548,,0.0,267.0,,Uterine polyp
,,,NCT00574548,,0.0,223.0,,Uterine polyp
,,,NCT00574548,,0.0,160.0,,Uterine polyp
,,,NCT00574548,,0.0,267.0,,Uterine polyp
,,,NCT00574548,,0.0,223.0,,Uterine polyp
,,,NCT00574548,,0.0,478.0,,Haemothorax
,,,NCT00574548,,0.0,237.0,,Haemothorax
,,,NCT00574548,,1.0,478.0,,Haemothorax
,,,NCT00574548,,0.0,237.0,,Haemothorax
,,,NCT00574548,,0.0,160.0,,Haemothorax
,,,NCT00574548,,0.0,267.0,,Haemothorax
,,,NCT00574548,,0.0,223.0,,Haemothorax
,,,NCT00574548,,0.0,160.0,,Haemothorax
,,,NCT00574548,,0.0,267.0,,Haemothorax
,,,NCT00574548,,0.0,223.0,,Haemothorax
,,,NCT00574548,,0.0,478.0,,Chronic obstructive pulmonary disease
,,,NCT00574548,,0.0,237.0,,Chronic obstructive pulmonary disease
,,,NCT00574548,,0.0,478.0,,Chronic obstructive pulmonary disease
,,,NCT00574548,,1.0,237.0,,Chronic obstructive pulmonary disease
,,,NCT00574548,,0.0,160.0,,Chronic obstructive pulmonary disease
,,,NCT00574548,,0.0,267.0,,Chronic obstructive pulmonary disease
,,,NCT00574548,,0.0,223.0,,Chronic obstructive pulmonary disease
,,,NCT00574548,,0.0,160.0,,Chronic obstructive pulmonary disease
,,,NCT00574548,,0.0,267.0,,Chronic obstructive pulmonary disease
,,,NCT00574548,,0.0,223.0,,Chronic obstructive pulmonary disease
,,,NCT00574548,,0.0,478.0,,Pleural effusion
,,,NCT00574548,,0.0,237.0,,Pleural effusion
,,,NCT00574548,,0.0,478.0,,Pleural effusion
,,,NCT00574548,,1.0,237.0,,Pleural effusion
,,,NCT00574548,,0.0,160.0,,Pleural effusion
,,,NCT00574548,,0.0,267.0,,Pleural effusion
,,,NCT00574548,,0.0,223.0,,Pleural effusion
,,,NCT00574548,,0.0,160.0,,Pleural effusion
,,,NCT00574548,,0.0,267.0,,Pleural effusion
,,,NCT00574548,,0.0,223.0,,Pleural effusion
,,,NCT00574548,,0.0,478.0,,Dyspnoea
,,,NCT00574548,,0.0,237.0,,Dyspnoea
,,,NCT00574548,,0.0,478.0,,Dyspnoea
,,,NCT00574548,,0.0,237.0,,Dyspnoea
,,,NCT00574548,,0.0,160.0,,Dyspnoea
,,,NCT00574548,,1.0,267.0,,Dyspnoea
,,,NCT00574548,,0.0,223.0,,Dyspnoea
,,,NCT00574548,,0.0,160.0,,Dyspnoea
,,,NCT00574548,,0.0,267.0,,Dyspnoea
,,,NCT00574548,,0.0,223.0,,Dyspnoea
,,,NCT00574548,,0.0,478.0,,Deep vein thrombosis
,,,NCT00574548,,0.0,237.0,,Deep vein thrombosis
,,,NCT00574548,,0.0,478.0,,Deep vein thrombosis
,,,NCT00574548,,0.0,237.0,,Deep vein thrombosis
,,,NCT00574548,,0.0,160.0,,Deep vein thrombosis
,,,NCT00574548,,0.0,267.0,,Deep vein thrombosis
,,,NCT00574548,,0.0,223.0,,Deep vein thrombosis
,,,NCT00574548,,0.0,160.0,,Deep vein thrombosis
,,,NCT00574548,,1.0,267.0,,Deep vein thrombosis
,,,NCT00574548,,0.0,223.0,,Deep vein thrombosis
,,,NCT00574548,,1.0,478.0,,Lymphadenopathy
,,,NCT00574548,,0.0,237.0,,Lymphadenopathy
,,,NCT00574548,,0.0,478.0,,Lymphadenopathy
,,,NCT00574548,,0.0,237.0,,Lymphadenopathy
,,,NCT00574548,,0.0,160.0,,Lymphadenopathy
,,,NCT00574548,,0.0,267.0,,Lymphadenopathy
,,,NCT00574548,,0.0,223.0,,Lymphadenopathy
,,,NCT00574548,,0.0,160.0,,Lymphadenopathy
,,,NCT00574548,,0.0,267.0,,Lymphadenopathy
,,,NCT00574548,,0.0,223.0,,Lymphadenopathy
,,,NCT00574548,,0.0,478.0,,Anaemia
,,,NCT00574548,,1.0,237.0,,Anaemia
,,,NCT00574548,,1.0,478.0,,Anaemia
,,,NCT00574548,,0.0,237.0,,Anaemia
,,,NCT00574548,,0.0,160.0,,Anaemia
,,,NCT00574548,,0.0,267.0,,Anaemia
,,,NCT00574548,,0.0,223.0,,Anaemia
,,,NCT00574548,,0.0,160.0,,Anaemia
,,,NCT00574548,,1.0,267.0,,Anaemia
,,,NCT00574548,,1.0,223.0,,Anaemia
,,,NCT00574548,,0.0,478.0,,Polycythaemia
,,,NCT00574548,,0.0,237.0,,Polycythaemia
,,,NCT00574548,,0.0,478.0,,Polycythaemia
,,,NCT00574548,,0.0,237.0,,Polycythaemia
,,,NCT00574548,,0.0,160.0,,Polycythaemia
