title,param_value,param_type,nct_id,classification,subjects_affected,,subjects_at_risk,event_count,adverse_event_term,,,
Total Symptom Score,0.3,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.3,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,2.3,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.3,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.6,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,2.5,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.3,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,2.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.3,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.5,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,2.3,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,1.9,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.3,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.6,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,1.8,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,1.7,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.3,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.4,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,1.8,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,1.8,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.5,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,1.6,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,1.6,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.3,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.4,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,1.4,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,1.4,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.4,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,1.3,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,1.4,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.4,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,1.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,1.5,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.4,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.3,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,1.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.3,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,1.1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.7,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.8,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.7,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.9,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.9,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.7,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.9,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.5,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.1,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.9,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.4,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.6,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.4,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.5,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.4,Geometric Mean,NCT03691623,,,,,,,,,
Time to Peak Total Symptom Score,1.18,Geometric Mean,NCT03691623,,,,,,,,,
Time to Peak Total Symptom Score,1.76,Geometric Mean,NCT03691623,,,,,,,,,
Time to Peak Total Symptom Score,2.15,Geometric Mean,NCT03691623,,,,,,,,,
Time to Peak Total Symptom Score,1.45,Geometric Mean,NCT03691623,,,,,,,,,
Time to Peak Total Symptom Score,1.09,Geometric Mean,NCT03691623,,,,,,,,,
Time to Peak Total Symptom Score,1.94,Geometric Mean,NCT03691623,,,,,,,,,
Time to Resolution From Peak Total Symptom Score,2.49,Geometric Mean,NCT03691623,,,,,,,,,
Time to Resolution From Peak Total Symptom Score,2.83,Geometric Mean,NCT03691623,,,,,,,,,
Time to Resolution From Peak Total Symptom Score,3.3,Geometric Mean,NCT03691623,,,,,,,,,
Time to Resolution From Peak Total Symptom Score,2.19,Geometric Mean,NCT03691623,,,,,,,,,
Time to Resolution From Peak Total Symptom Score,1.38,Geometric Mean,NCT03691623,,,,,,,,,
Time to Resolution From Peak Total Symptom Score,5.17,Geometric Mean,NCT03691623,,,,,,,,,
Safety and Tolerability as Assessed by Number of Participants With Treatment-emergent Adverse Events (TEAEs),20,Count of Participants,NCT03691623,,,,,,,,,
Safety and Tolerability as Assessed by Number of Participants With Treatment-emergent Adverse Events (TEAEs),21,Count of Participants,NCT03691623,,,,,,,,,
Safety and Tolerability as Assessed by Number of Participants With Treatment-emergent Adverse Events (TEAEs),21,Count of Participants,NCT03691623,,,,,,,,,
Safety and Tolerability as Assessed by Number of Participants With Treatment-emergent Adverse Events (TEAEs),8,Count of Participants,NCT03691623,,,,,,,,,
Safety and Tolerability as Assessed by Number of Participants With Treatment-emergent Adverse Events (TEAEs),10,Count of Participants,NCT03691623,,,,,,,,,
Safety and Tolerability as Assessed by Number of Participants With Treatment-emergent Adverse Events (TEAEs),11,Count of Participants,NCT03691623,,,,,,,,,
Number of Participants With Correlation of Plasma Pharmacokinetic (PK) Area Under the Curve (AUC) and Total Symptom Score (TSS) AUC,0,Count of Participants,NCT03691623,,,,,,,,,
Number of Participants With Correlation of Plasma Pharmacokinetic (PK) Area Under the Curve (AUC) and Total Symptom Score (TSS) AUC,0,Count of Participants,NCT03691623,,,,,,,,,
Number of Participants With Correlation of Plasma Pharmacokinetic (PK) Area Under the Curve (AUC) and Total Symptom Score (TSS) AUC,0,Count of Participants,NCT03691623,,,,,,,,,
Number of Participants With Correlation of Plasma Pharmacokinetic (PK) Area Under the Curve (AUC) and Total Symptom Score (TSS) AUC,0,Count of Participants,NCT03691623,,,,,,,,,
,,,NCT03691623,"Total, serious adverse events",0,,38,,,,,
,,,NCT03691623,"Total, other adverse events",20,,38,,,,,
,,,NCT03691623,"Total, all-cause mortality",0,,39,,,,,
,,,NCT03691623,"Total, serious adverse events",0,,38,,,,,
,,,NCT03691623,"Total, other adverse events",21,,38,,,,,
,,,NCT03691623,"Total, all-cause mortality",0,,38,,,,,
,,,NCT03691623,"Total, serious adverse events",0,,38,,,,,
,,,NCT03691623,"Total, other adverse events",21,,38,,,,,
,,,NCT03691623,"Total, all-cause mortality",0,,38,,,,,
,,,NCT03691623,"Total, serious adverse events",0,,21,,,,,
,,,NCT03691623,"Total, other adverse events",8,,21,,,,,
,,,NCT03691623,"Total, all-cause mortality",0,,21,,,,,
,,,NCT03691623,"Total, serious adverse events",0,,21,,,,,
,,,NCT03691623,"Total, other adverse events",10,,21,,,,,
,,,NCT03691623,"Total, all-cause mortality",0,,21,,,,,
,,,NCT03691623,"Total, serious adverse events",0,,21,,,,,
,,,NCT03691623,"Total, other adverse events",11,,21,,,,,
,,,NCT03691623,"Total, all-cause mortality",0,,21,,,,,
,,,NCT03691623,,0,,38,0,Ear pain,,arm 1,17
,,,NCT03691623,,1,1,38,1,Ear pain,,arm 2,23
,,,NCT03691623,,2,1,38,2,Ear pain,,arm 3,26
,,,NCT03691623,,0,,21,0,Ear pain,,arm 4,16
,,,NCT03691623,,1,1,21,1,Ear pain,,arm 5,14
,,,NCT03691623,,0,,21,0,Ear pain,,arm 6,12
,,,NCT03691623,,0,,38,0,Hypoacusis,,,
,,,NCT03691623,,0,,38,0,Hypoacusis,,,
,,,NCT03691623,,1,1,38,1,Hypoacusis,,,
,,,NCT03691623,,0,,21,0,Hypoacusis,,,
,,,NCT03691623,,0,,21,0,Hypoacusis,,,
,,,NCT03691623,,0,,21,0,Hypoacusis,,,
,,,NCT03691623,,0,,38,0,Blepharospasm,,,
,,,NCT03691623,,0,,38,0,Blepharospasm,,,
,,,NCT03691623,,1,1,38,1,Blepharospasm,,,
,,,NCT03691623,,0,,21,0,Blepharospasm,,,
,,,NCT03691623,,0,,21,0,Blepharospasm,,,
,,,NCT03691623,,0,,21,0,Blepharospasm,,,
,,,NCT03691623,,0,,38,0,Conjunctival haemorrhage,,,
,,,NCT03691623,,1,1,38,1,Conjunctival haemorrhage,,,
,,,NCT03691623,,0,,38,0,Conjunctival haemorrhage,,,
,,,NCT03691623,,0,,21,0,Conjunctival haemorrhage,,,
,,,NCT03691623,,0,,21,0,Conjunctival haemorrhage,,,
,,,NCT03691623,,0,,21,0,Conjunctival haemorrhage,,,
,,,NCT03691623,,0,,38,0,Ocular hyperaemia,,,
,,,NCT03691623,,1,1,38,1,Ocular hyperaemia,,,
,,,NCT03691623,,1,1,38,2,Ocular hyperaemia,,,
,,,NCT03691623,,0,,21,0,Ocular hyperaemia,,,
,,,NCT03691623,,0,,21,0,Ocular hyperaemia,,,
,,,NCT03691623,,0,,21,0,Ocular hyperaemia,,,
,,,NCT03691623,,0,,38,0,Abdominal pain,,,
,,,NCT03691623,,2,1,38,2,Abdominal pain,,,
,,,NCT03691623,,1,1,38,1,Abdominal pain,,,
,,,NCT03691623,,0,,21,0,Abdominal pain,,,
,,,NCT03691623,,0,,21,0,Abdominal pain,,,
,,,NCT03691623,,1,1,21,1,Abdominal pain,,,
,,,NCT03691623,,3,1,38,3,Diarrhoea,,,
,,,NCT03691623,,3,1,38,3,Diarrhoea,,,
,,,NCT03691623,,0,,38,0,Diarrhoea,,,
,,,NCT03691623,,1,1,21,1,Diarrhoea,,,
,,,NCT03691623,,1,1,21,1,Diarrhoea,,,
,,,NCT03691623,,0,,21,0,Diarrhoea,,,
,,,NCT03691623,,1,1,38,1,Dyspepsia,,,
,,,NCT03691623,,2,1,38,2,Dyspepsia,,,
,,,NCT03691623,,0,,38,0,Dyspepsia,,,
,,,NCT03691623,,0,,21,0,Dyspepsia,,,
,,,NCT03691623,,0,,21,0,Dyspepsia,,,
,,,NCT03691623,,0,,21,0,Dyspepsia,,,
,,,NCT03691623,,1,1,38,1,Haemorrhoids,,,
,,,NCT03691623,,0,,38,0,Haemorrhoids,,,
,,,NCT03691623,,0,,38,0,Haemorrhoids,,,
,,,NCT03691623,,0,,21,0,Haemorrhoids,,,
,,,NCT03691623,,0,,21,0,Haemorrhoids,,,
,,,NCT03691623,,0,,21,0,Haemorrhoids,,,
,,,NCT03691623,,1,1,38,1,Nausea,,,
,,,NCT03691623,,1,1,38,1,Nausea,,,
,,,NCT03691623,,3,1,38,3,Nausea,,,
,,,NCT03691623,,1,1,21,1,Nausea,,,
,,,NCT03691623,,3,1,21,3,Nausea,,,
,,,NCT03691623,,0,,21,0,Nausea,,,
,,,NCT03691623,,0,,38,0,Vomiting,,,
,,,NCT03691623,,1,1,38,1,Vomiting,,,
,,,NCT03691623,,1,1,38,1,Vomiting,,,
,,,NCT03691623,,1,1,21,2,Vomiting,,,
,,,NCT03691623,,0,,21,0,Vomiting,,,
,,,NCT03691623,,0,,21,0,Vomiting,,,
,,,NCT03691623,,0,,38,0,Abdominal discomfort,,,
,,,NCT03691623,,0,,38,0,Abdominal discomfort,,,
,,,NCT03691623,,0,,38,0,Abdominal discomfort,,,
,,,NCT03691623,,1,1,21,1,Abdominal discomfort,,,
,,,NCT03691623,,0,,21,0,Abdominal discomfort,,,
,,,NCT03691623,,0,,21,0,Abdominal discomfort,,,
,,,NCT03691623,,0,,38,0,Abdominal tenderness,,,
,,,NCT03691623,,0,,38,0,Abdominal tenderness,,,
,,,NCT03691623,,0,,38,0,Abdominal tenderness,,,
,,,NCT03691623,,1,1,21,1,Abdominal tenderness,,,
,,,NCT03691623,,0,,21,0,Abdominal tenderness,,,
,,,NCT03691623,,0,,21,0,Abdominal tenderness,,,
,,,NCT03691623,,1,1,38,1,Catheter site related reaction,,,
,,,NCT03691623,,1,1,38,1,Catheter site related reaction,,,
,,,NCT03691623,,2,1,38,2,Catheter site related reaction,,,
,,,NCT03691623,,0,,21,0,Catheter site related reaction,,,
,,,NCT03691623,,0,,21,0,Catheter site related reaction,,,
,,,NCT03691623,,0,,21,0,Catheter site related reaction,,,
,,,NCT03691623,,1,1,38,1,Chest discomfort,,,
,,,NCT03691623,,1,1,38,1,Chest discomfort,,,
,,,NCT03691623,,1,1,38,1,Chest discomfort,,,
,,,NCT03691623,,0,,21,0,Chest discomfort,,,
,,,NCT03691623,,0,,21,0,Chest discomfort,,,
,,,NCT03691623,,0,,21,0,Chest discomfort,,,
,,,NCT03691623,,0,,38,0,Pyrexia,,,
,,,NCT03691623,,0,,38,0,Pyrexia,,,
,,,NCT03691623,,1,1,38,1,Pyrexia,,,
,,,NCT03691623,,1,1,21,1,Pyrexia,,,
,,,NCT03691623,,0,,21,0,Pyrexia,,,
,,,NCT03691623,,0,,21,0,Pyrexia,,,
,,,NCT03691623,,0,,38,0,Thirst,,,
,,,NCT03691623,,0,,38,0,Thirst,,,
,,,NCT03691623,,1,1,38,1,Thirst,,,
,,,NCT03691623,,0,,21,0,Thirst,,,
,,,NCT03691623,,0,,21,0,Thirst,,,
,,,NCT03691623,,0,,21,0,Thirst,,,
,,,NCT03691623,,0,,38,0,Vessel puncture site haematoma,,,
,,,NCT03691623,,1,1,38,1,Vessel puncture site haematoma,,,
,,,NCT03691623,,0,,38,0,Vessel puncture site haematoma,,,
,,,NCT03691623,,0,,21,0,Vessel puncture site haematoma,,,
,,,NCT03691623,,0,,21,0,Vessel puncture site haematoma,,,
,,,NCT03691623,,0,,21,0,Vessel puncture site haematoma,,,
,,,NCT03691623,,1,1,38,1,Vessel puncture site pain,,,
,,,NCT03691623,,0,,38,0,Vessel puncture site pain,,,
,,,NCT03691623,,0,,38,0,Vessel puncture site pain,,,
,,,NCT03691623,,0,,21,0,Vessel puncture site pain,,,
,,,NCT03691623,,1,1,21,1,Vessel puncture site pain,,,
,,,NCT03691623,,0,,21,0,Vessel puncture site pain,,,
,,,NCT03691623,,0,,38,0,Feeling hot,,,
,,,NCT03691623,,0,,38,0,Feeling hot,,,
,,,NCT03691623,,0,,38,0,Feeling hot,,,
,,,NCT03691623,,0,,21,0,Feeling hot,,,
,,,NCT03691623,,1,1,21,1,Feeling hot,,,
,,,NCT03691623,,0,,21,0,Feeling hot,,,
,,,NCT03691623,,0,,38,0,Vessel puncture site paraesthesia,,,
,,,NCT03691623,,0,,38,0,Vessel puncture site paraesthesia,,,
,,,NCT03691623,,0,,38,0,Vessel puncture site paraesthesia,,,
,,,NCT03691623,,1,1,21,1,Vessel puncture site paraesthesia,,,
,,,NCT03691623,,0,,21,0,Vessel puncture site paraesthesia,,,
,,,NCT03691623,,0,,21,0,Vessel puncture site paraesthesia,,,
,,,NCT03691623,,0,,38,0,Hypersensitivity,,,
,,,NCT03691623,,0,,38,0,Hypersensitivity,,,
,,,NCT03691623,,1,1,38,1,Hypersensitivity,,,
,,,NCT03691623,,0,,21,0,Hypersensitivity,,,
,,,NCT03691623,,0,,21,0,Hypersensitivity,,,
,,,NCT03691623,,0,,21,0,Hypersensitivity,,,
,,,NCT03691623,,0,,38,0,Angular cheilitis,,,
,,,NCT03691623,,1,1,38,1,Angular cheilitis,,,
,,,NCT03691623,,0,,38,0,Angular cheilitis,,,
,,,NCT03691623,,0,,21,0,Angular cheilitis,,,
,,,NCT03691623,,0,,21,0,Angular cheilitis,,,
,,,NCT03691623,,0,,21,0,Angular cheilitis,,,
,,,NCT03691623,,1,1,38,1,Gastroenteritis,,,
,,,NCT03691623,,0,,38,0,Gastroenteritis,,,
,,,NCT03691623,,1,1,38,1,Gastroenteritis,,,
,,,NCT03691623,,0,,21,0,Gastroenteritis,,,
,,,NCT03691623,,0,,21,0,Gastroenteritis,,,
,,,NCT03691623,,0,,21,0,Gastroenteritis,,,
,,,NCT03691623,,0,,38,0,Herpes simplex,,,
,,,NCT03691623,,0,,38,0,Herpes simplex,,,
,,,NCT03691623,,1,1,38,1,Herpes simplex,,,
,,,NCT03691623,,0,,21,0,Herpes simplex,,,
,,,NCT03691623,,0,,21,0,Herpes simplex,,,
,,,NCT03691623,,0,,21,0,Herpes simplex,,,
,,,NCT03691623,,2,1,38,2,Upper respiratory tract infection,,,
,,,NCT03691623,,2,1,38,2,Upper respiratory tract infection,,,
,,,NCT03691623,,4,1,38,4,Upper respiratory tract infection,,,
,,,NCT03691623,,1,1,21,1,Upper respiratory tract infection,,,
,,,NCT03691623,,2,1,21,2,Upper respiratory tract infection,,,
,,,NCT03691623,,1,1,21,1,Upper respiratory tract infection,,,
,,,NCT03691623,,1,1,38,1,Viral upper respiratory tract infection,,,
,,,NCT03691623,,0,,38,0,Viral upper respiratory tract infection,,,
,,,NCT03691623,,1,1,38,1,Viral upper respiratory tract infection,,,
,,,NCT03691623,,0,,21,0,Viral upper respiratory tract infection,,,
,,,NCT03691623,,2,1,21,2,Viral upper respiratory tract infection,,,
,,,NCT03691623,,0,,21,0,Viral upper respiratory tract infection,,,
,,,NCT03691623,,0,,38,0,Urinary tract infection,,,
,,,NCT03691623,,0,,38,0,Urinary tract infection,,,
,,,NCT03691623,,0,,38,0,Urinary tract infection,,,
,,,NCT03691623,,1,1,21,1,Urinary tract infection,,,
,,,NCT03691623,,0,,21,0,Urinary tract infection,,,
,,,NCT03691623,,0,,21,0,Urinary tract infection,,,
,,,NCT03691623,,0,,38,0,Viral tonsillitis,,,
,,,NCT03691623,,0,,38,0,Viral tonsillitis,,,
,,,NCT03691623,,0,,38,0,Viral tonsillitis,,,
,,,NCT03691623,,0,,21,0,Viral tonsillitis,,,
,,,NCT03691623,,0,,21,0,Viral tonsillitis,,,
,,,NCT03691623,,1,1,21,1,Viral tonsillitis,,,
,,,NCT03691623,,0,,38,0,Alanine aminotransferase increased,,,
,,,NCT03691623,,2,1,38,2,Alanine aminotransferase increased,,,
,,,NCT03691623,,2,1,38,2,Alanine aminotransferase increased,,,
,,,NCT03691623,,0,,21,0,Alanine aminotransferase increased,,,
,,,NCT03691623,,0,,21,0,Alanine aminotransferase increased,,,
,,,NCT03691623,,0,,21,0,Alanine aminotransferase increased,,,
,,,NCT03691623,,2,1,38,3,Forced expiratory volume decreased,,,
,,,NCT03691623,,1,1,38,1,Forced expiratory volume decreased,,,
,,,NCT03691623,,0,,38,0,Forced expiratory volume decreased,,,
,,,NCT03691623,,0,,21,0,Forced expiratory volume decreased,,,
,,,NCT03691623,,0,,21,0,Forced expiratory volume decreased,,,
,,,NCT03691623,,0,,21,0,Forced expiratory volume decreased,,,
,,,NCT03691623,,0,,38,0,Aspartate aminotransferase increased,,,
,,,NCT03691623,,0,,38,0,Aspartate aminotransferase increased,,,
,,,NCT03691623,,0,,38,0,Aspartate aminotransferase increased,,,
,,,NCT03691623,,0,,21,0,Aspartate aminotransferase increased,,,
,,,NCT03691623,,0,,21,0,Aspartate aminotransferase increased,,,
,,,NCT03691623,,1,1,21,1,Aspartate aminotransferase increased,,,
,,,NCT03691623,,0,,38,0,FEV1/FVC ratio decreased,,,
,,,NCT03691623,,0,,38,0,FEV1/FVC ratio decreased,,,
,,,NCT03691623,,0,,38,0,FEV1/FVC ratio decreased,,,
,,,NCT03691623,,0,,21,0,FEV1/FVC ratio decreased,,,
,,,NCT03691623,,0,,21,0,FEV1/FVC ratio decreased,,,
,,,NCT03691623,,1,1,21,1,FEV1/FVC ratio decreased,,,
,,,NCT03691623,,0,,38,0,Forced vital capacity decreased,,,
,,,NCT03691623,,0,,38,0,Forced vital capacity decreased,,,
,,,NCT03691623,,0,,38,0,Forced vital capacity decreased,,,
,,,NCT03691623,,0,,21,0,Forced vital capacity decreased,,,
,,,NCT03691623,,0,,21,0,Forced vital capacity decreased,,,
,,,NCT03691623,,1,1,21,1,Forced vital capacity decreased,,,
,,,NCT03691623,,1,1,38,1,Decreased appetite,,,
,,,NCT03691623,,0,,38,0,Decreased appetite,,,
,,,NCT03691623,,2,1,38,2,Decreased appetite,,,
,,,NCT03691623,,0,,21,0,Decreased appetite,,,
,,,NCT03691623,,0,,21,0,Decreased appetite,,,
