,nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed
10,NCT05458336,,2022-06-28,,,2022-07-11,2022-07-11,2022-07-14,Actual,,,,,,,2022-07-11,2022-07-14,Actual,"March 8, 2022",Actual,2022-03-08,June 2022,2022-06-30,"April 14, 2022",Actual,2022-04-14,"April 14, 2022",Actual,2022-04-14,,Interventional,,,A Randomized Controlled Clinical Trial on the Use of Saline Nasal Irrigations to Eradicate Localized Nasal Infection by SARS-CoV-2,Saline Nasal Irrigations to Eradicate SARS-CoV-2,Completed,,Not Applicable,107,Actual,University of Padova,,2.0,,,False,,,,,False,False,,,,,,,,,,,2023-04-07 13:48:40.833878,2023-04-07 13:48:40.833878,OTHER,,,,,
11,NCT00086606,,2004-07-06,,,2013-01-17,2004-07-08,2004-07-09,Estimate,,,,,,,2013-01-17,2013-01-21,Estimate,June 2004,,2004-06-30,January 2013,2013-01-31,April 2006,Actual,2006-04-30,,,,,Interventional,,,A Safety and Efficacy Study of Xolair in Peanut Allergy,"A Phase II, Randomized, Double-Blind, Parallel-Group, Placebo-Controlled, Oral Food Challenge Trial of Xolair (Omalizumab) in Peanut Allergy",Terminated,,Phase 2,150,,"Genentech, Inc.",,,,,False,,,,,,,,,,,,,,,,,2023-04-07 13:48:51.608012,2023-04-07 13:48:51.608012,INDUSTRY,,,,,
12,NCT00090428,,2004-08-26,,,2013-01-31,2004-08-26,2004-08-27,Estimate,,,,,,,2013-01-31,2013-02-01,Estimate,January 2004,,2004-01-31,January 2013,2013-01-31,February 2009,Actual,2009-02-28,October 2008,Actual,2008-10-31,,Interventional,,,Diet and Behavior in Young Children With Autism,Diet and Behavior in Young Children With Autism,Completed,,Phase 1,21,Actual,University of Rochester,,2.0,,,False,,,,True,,,,,,,,,,,,,2023-04-07 13:53:46.427172,2023-04-07 13:53:46.427172,OTHER,,,,,
13,NCT03440970,,2018-02-14,,,2022-09-29,2018-02-14,2018-02-22,Actual,,,,,,,2022-09-29,2022-09-30,Actual,"January 15, 2019",Actual,2019-01-15,September 2022,2022-09-30,September 2023,Anticipated,2023-09-30,March 2023,Anticipated,2023-03-31,,Interventional,,,Mechanism and Effects of Manipulating Chloride Homeostasis in Stable Heart Failure,Mechanism and Effects of Manipulating Chloride Homeostasis in Stable Heart Failure,Recruiting,,Early Phase 1,20,Anticipated,Yale University,,2.0,,,False,,,,True,True,False,,,True,,,,,,,,2023-04-07 13:56:15.827845,2023-04-07 13:56:15.827845,OTHER,,,,,
14,NCT00400322,,2006-11-15,,,2021-02-25,2006-11-15,2006-11-16,Estimate,,,,,,,2021-02-25,2021-03-01,Actual,August 2006,Actual,2006-08-31,February 2021,2021-02-28,June 2008,Actual,2008-06-30,June 2008,Actual,2008-06-30,,Interventional,,,Efficacy and Safety of Valcyte® as an add-on Therapy in Patients With Malignant Glioblastoma and Cytomegalovirus (CMV) Infection,A Randomized Double Blind Controlled Proof of Concept Study of the Efficacy and Safety of Valcyte® as an add-on Therapy in Patients With Malignant Glioblastoma With Successful Surgical Resection of at Least 90 % of the Initial Tumor and CMV Infection Demonstrated Histologically and Immunohistochemically.,Completed,,Not Applicable,42,Actual,Karolinska Institutet,,2.0,,,False,,,,,,,,,,,,,,,,,2023-04-07 13:56:34.222730,2023-04-07 13:56:34.222730,OTHER,,,,,
15,NCT02040090,,2013-11-28,2016-06-08,,2021-08-31,2014-01-16,2014-01-20,Estimate,2021-08-31,2021-09-29,Actual,,,,2021-08-31,2021-09-29,Actual,April 2013,,2013-04-30,April 2016,2016-04-30,August 2014,Actual,2014-08-31,August 2014,Actual,2014-08-31,,Interventional,KAMRAB-003,,Phase II/III Study of the Safety and Effectiveness of HRIG With Active Rabies Vaccine in Healthy Subjects,"A Prospective, Randomized, Double-Blind, Non Inferiority, Phase II/III Study of the Safety and Efficacy of Simulated Post-Exposure Prophylaxis With Kamada Human Rabies Immune Globulin (KamRAB) and Active Rabies Vaccine in Healthy Subjects",Completed,,Phase 2/Phase 3,118,Actual,"Kamada, Ltd.",,2.0,,,False,,,,False,,,,,,,,,,,,,2023-04-06 20:16:58.377517,2023-04-06 20:16:58.377517,INDUSTRY,,,,,
16,NCT01054729,,2010-01-21,2014-01-06,2012-05-24,2014-03-31,2010-01-21,2010-01-22,Estimate,2014-01-06,2014-02-19,Estimate,2012-05-24,2012-05-31,Estimate,2014-03-31,2014-04-17,Estimate,January 2010,,2010-01-31,March 2014,2014-03-31,August 2011,Actual,2011-08-31,April 2010,Actual,2010-04-30,,Interventional,,Participants who were randomized and treated were analyzed for Baseline Characteristics,Dose-Ranging Study of Sofosbuvir in Combination With Pegylated Interferon and Ribavirin in Treatment Naïve GT 1 HCV Patients,"A Multi-center, Double-Blind, Parallel Group, Randomized, Placebo-Controlled, Dose Ranging Study to Investigate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics Following Oral Administration of PSI-7977 in Combination With Standard of Care (Pegylated Interferon and Ribavirin) in Treatment-Naïve Patients With Chronic HCV Infection Genotype 1",Completed,,Phase 2,64,Actual,Gilead Sciences,,4.0,,,False,,,,False,,,,,,,,,,,,,2023-04-07 13:57:15.272655,2023-04-07 13:57:15.272655,INDUSTRY,,,,,
17,NCT00429715,,2007-01-31,,,2011-02-16,2007-01-31,2007-02-01,Estimate,,,,,,,2011-02-16,2011-02-17,Estimate,January 2007,,2007-01-31,February 2011,2011-02-28,December 2007,Actual,2007-12-31,May 2007,Actual,2007-05-31,,Interventional,,,Safety/Efficacy Trial of Killed Leishmania Vaccine in Volunteers With no Response to Leishmanin,"A Randomized, Safety, Immunogenicity & Efficacy Study of Autoclaved Leishmania Major Plus BCG vs. BCG (Double Blind) or Placebo (Open), in Healthy High Risk Iranian Volunteers With no Response to Leishmanin",Completed,,Phase 2/Phase 3,150,Anticipated,Tehran University of Medical Sciences,,3.0,,,False,,,,,,,,,,,,,,,,,2023-04-07 13:57:43.256986,2023-04-07 13:57:43.256986,OTHER,,,,,
18,NCT00430534,,2007-02-01,,,2007-02-01,2007-02-01,2007-02-02,Estimate,,,,,,,2007-02-01,2007-02-02,Estimate,,,,February 2007,2007-02-28,,,,,,,,Interventional,,,"Evaluation of Safety, Immune-Response and Efficacy of GSK Biologicals' EBV (Epstein Barr Virus) Vaccine (268664).","To Evaluate the Safety, Immunogenicity and Efficacy of GSK Biologicals' EBV Vaccine (268664) in Healthy Seronegative Adolescents/Adults When Injected Intramuscularly According to a 0-1-5 Month Schedule in Belgium.",Completed,,Phase 2,200,,Henogen,,,,,False,,,,,,,,,,,,,,,,,2023-04-07 13:57:57.340566,2023-04-07 13:57:57.340566,INDUSTRY,,,,,
19,NCT00434005,,2006-08-25,,,2013-01-14,2007-02-09,2007-02-12,Estimate,,,,,,,2013-01-14,2013-01-16,Estimate,July 2008,,2008-07-31,January 2013,2013-01-31,August 2010,Actual,2010-08-31,August 2010,Actual,2010-08-31,,Interventional,,,Effect of Diesel Exhaust Particulate Exposures on Endothelial Function in Humans,Effect of Diesel Exhaust Particulate Exposures on Endothelial Function in Humans - the Role of Oxidative Stress,Completed,,Not Applicable,24,Actual,University of Washington,,2.0,,,False,,,,False,,,,,,,,,,,,,2023-04-07 14:00:32.724896,2023-04-07 14:00:32.724896,OTHER,,,,,
20,NCT00131703,,2005-08-18,,,2017-01-11,2005-08-18,2005-08-19,Estimate,,,,,,,2017-01-11,2017-01-12,Estimate,March 2003,,2003-03-31,January 2017,2017-01-31,March 2005,,2005-03-31,,,,,Interventional,,,Efficacy and Safety of Sulphadoxine-pyrimethamine and Amodiaquine in Ghanaian Pregnant Women,A Randomised Double Blind Clinical Trial of Amodiaquine (AQ) and Sulphadoxine-pyrimethamine (SP) Used Singly and in Combination (AQ+SP) Compared With Chloroquine (CQ) in the Treatment of Falciparum Malaria Infection in Pregnancy,Completed,,Phase 3,900,,London School of Hygiene and Tropical Medicine,,,,,False,,,,,,,,,,,,,,,,,2023-04-07 14:01:04.472350,2023-04-07 14:01:04.472350,OTHER,,,,,
21,NCT00400595,,2006-11-15,,,2015-03-16,2006-11-16,2006-11-17,Estimate,,,,,,,2015-03-16,2015-03-18,Estimate,February 2006,,2006-02-28,March 2015,2015-03-31,June 2010,Actual,2010-06-30,June 2009,Actual,2009-06-30,,Interventional,,,Use of Ointments in Prevention of Catheter Related Infections in PD,A Randomized Controlled Double Blind Study Using Mupirocin Versus Polysporin Triple for the Prevention of Catheter-related Infections in Patients Treated With Peritoneal Dialysis,Completed,,Phase 4,200,Actual,"University Health Network, Toronto",,2.0,,,False,,,,True,,,,,,,,,,,,,2023-04-07 14:01:24.884723,2023-04-07 14:01:24.884723,OTHER,,,,,
22,NCT04333914,,2020-04-01,,,2022-09-29,2020-04-02,2020-04-03,Actual,,,,,,,2022-09-29,2022-09-30,Actual,"April 15, 2020",Actual,2020-04-15,August 2021,2021-08-31,"December 31, 2021",Actual,2021-12-31,"July 6, 2021",Actual,2021-07-06,,Interventional,IMMUNONCOVID,,Prospective Study in Patients With Advanced or Metastatic Cancer and SARS-CoV-2 Infection,"A Prospective, Controlled, Randomized, Multicenter Study of the Efficacy of an Autophagy Inhibitor (GNS561), an Anti-NKG2A (Monalizumab) and an Anti-C5aR (Avdoralimab) Compared to the Standard of Care in Patients With Advanced or Metastatic Cancer and SARS-CoV-2 (COVID-19) Infection.",Completed,,Phase 2,19,Actual,Centre Leon Berard,,4.0,,,False,,,,True,False,False,,,,,,,,,,,2023-04-07 14:01:51.133918,2023-04-07 14:01:51.133918,OTHER,,,,,
23,NCT00100373,,2004-12-30,,,2010-08-26,2004-12-30,2004-12-31,Estimate,,,,,,,2010-08-26,2010-08-27,Estimate,September 2004,,2004-09-30,February 2007,2007-02-28,May 2005,,2005-05-31,,,,,Interventional,,,RSV Challenge in Healthy Adults,"Characterization of the Immune Response and Viral Shedding to Experimental Infection With Respiratory Syncytial Virus, Strain A-2, in Healthy Adults Ages 21 to 40 Years Old",Completed,,Not Applicable,13,,National Institute of Allergy and Infectious Diseases (NIAID),,,,,,,,,,,,,,,,,,,,,,2023-04-07 14:01:59.966309,2023-04-07 14:01:59.966309,NIH,,,,,
24,NCT00137319,,2005-08-25,,,2015-07-20,2005-08-25,2005-08-29,Estimate,,,,,,,2015-07-20,2015-07-22,Estimate,October 2004,,2004-10-31,July 2015,2015-07-31,June 2006,Actual,2006-06-30,,,,,Interventional,,,Impedance Threshold Device Tilt Study,An Evaluation of an Impedance Threshold Device (ITD) to Improve Hemodynamic Function During Orthostatic Challenge in Burn Patients,Terminated,,Not Applicable,2,Actual,United States Army Institute of Surgical Research,,,,"Aims of the study re-evaluated, did not justify allocation of resources.",False,,,,False,,,,,,,,,,,,,2023-04-07 14:05:18.884736,2023-04-07 14:05:18.884736,FED,,,,,
25,NCT00105248,,2005-03-10,,,2016-05-10,2005-03-10,2005-03-11,Estimate,,,,,,,2016-05-10,2016-05-11,Estimate,January 2004,,2004-01-31,May 2016,2016-05-31,June 2004,,2004-06-30,,,,,Interventional,,,Patient Centered Communication Training to Reduce Antibiotic Use in Acute Respiratory Tract Infections,Multidimensional Intervention Program to Reduce Antibiotic Prescriptions for Acute Respiratory Tract Infections in Adults: a Randomized Controlled Trial in Primary Care,Completed,,Not Applicable,900,,"University Hospital, Basel, Switzerland",,,,,False,,,,False,,,,,,,,,,,,,2023-04-07 14:05:31.217067,2023-04-07 14:05:31.217067,OTHER,,,,,
26,NCT00435526,,2007-02-13,,,2007-02-14,2007-02-14,2007-02-15,Estimate,,,,,,,2007-02-14,2007-02-15,Estimate,March 2006,,2006-03-31,February 2007,2007-02-28,October 2006,,2006-10-31,,,,,Interventional,BIgGI,,Efficacy of Anti-CFA/I and CfaE Bovine Milk Immunoglobulin Against Challenge With H10407 ETEC Expressing CFA/I,Protective Efficacy of Orally Delivered Bovine Milk Immunoglobulin (BIgG) Specific for the Minor CFA/I Fimbrial Adhesin CfaE Against Challenge With H10407 Enterotoxigenic E. Coli (ETEC) Strain Expressing CFA/I,Completed,,Phase 1,30,,Johns Hopkins Bloomberg School of Public Health,,,,,False,,,,,,,,,,,,,,,,,2023-04-07 14:06:19.388517,2023-04-07 14:06:19.388517,OTHER,,,,,
27,NCT00142896,,2005-09-01,,,2017-01-11,2005-09-01,2005-09-02,Estimate,,,,,,,2017-01-11,2017-01-12,Estimate,February 2005,,2005-02-28,August 2008,2008-08-31,December 2005,Actual,2005-12-31,December 2005,Actual,2005-12-31,,Interventional,,,Tramadol to Reduce Opioid Withdrawal Symptoms,Withdrawal Suppression Efficacy of Tramadol,Completed,,Phase 2,16,Actual,National Institute on Drug Abuse (NIDA),,,,,False,,,,,,,,,,,,,,,,,2023-04-07 14:08:26.946585,2023-04-07 14:08:26.946585,NIH,,,,,
28,NCT00404586,,2006-11-27,,,2017-09-11,2006-11-27,2006-11-29,Estimate,,,,,,,2017-09-11,2017-09-12,Actual,"September 11, 2006",Actual,2006-09-11,September 2017,2017-09-30,"January 16, 2007",Actual,2007-01-16,"January 16, 2007",Actual,2007-01-16,,Interventional,,,Effects Of Single Doses Of GW784568X On Allergic Rhinitis Symptoms In Male Subjects Whilst In An Environmental Chamber,"A Randomised, Placebo-controlled, 4-period, Incomplete Block, Crossover Study of 7 Days Dosing of Intranasal GW784568X (100mcg, 200mcg and 400mcg od), Fluticasone Propionate (200mcg od) and Placebo (Blinded for GW784568X vs Placebo) to Evaluate the Efficacy and Safety Using an Environmental Chamber in Male Subjects With Allergic Rhinitis",Completed,,Phase 1,45,Actual,GlaxoSmithKline,,4.0,,,False,,,,False,,,,,,,,,,,,,2023-04-07 14:09:25.231542,2023-04-07 14:09:25.231542,INDUSTRY,,,,,
29,NCT03278431,,2017-09-06,,,2018-05-07,2017-09-08,2017-09-11,Actual,,,,,,,2018-05-07,2018-05-08,Actual,"September 27, 2017",Actual,2017-09-27,May 2018,2018-05-31,"December 1, 2017",Actual,2017-12-01,"November 17, 2017",Actual,2017-11-17,,Interventional,Tricombi,,Triple Combinations Against Hookworm Infections in Lao,"Different Drug Combinations Against Hookworm Infection in School-aged Children in the Lao People's Democratic Republic, a Single Blind, Randomised Controlled Trial",Completed,,Phase 4,420,Actual,Swiss Tropical & Public Health Institute,,4.0,,,False,,,,False,False,False,,,,,,,,,No,,2023-04-07 14:09:46.873024,2023-04-07 14:09:46.873024,OTHER,,,,,
30,NCT00452062,,2007-03-23,,,2007-03-23,2007-03-23,2007-03-26,Estimate,,,,,,,2007-03-23,2007-03-26,Estimate,October 2004,,2004-10-31,March 2007,2007-03-31,July 2007,Anticipated,2007-07-31,,,,,Interventional,,,Dexamethasone and the Prevention of Post-Extubation Airway Obstruction in Adults,Mackay Memorial Hospital,Unknown status,Recruiting,Phase 2,70,,Mackay Memorial Hospital,,,,,False,,,,True,,,,,,,,,,,,,2023-04-07 14:10:35.733113,2023-04-07 14:10:35.733113,OTHER,,,,,
31,NCT00109304,,2005-04-27,,,2015-09-17,2005-04-26,2005-04-27,Estimate,,,,,,,2015-09-17,2015-09-18,Estimate,July 2005,,2005-07-31,September 2015,2015-09-30,December 2006,,2006-12-31,,,,,Interventional,,,"Safety, Tolerability and Immunogenicity of the Venezuelan Equine Encephalitis (VEE) Attenuated Live-Virus Vaccine","Safety, Tolerability and Immunogenicity of the Venezuelan Equine Encephalitis (VEE) Attenuated Live-Virus Vaccine VEE IA/B V3526 in VEE-Naive Healthy Volunteers After Single Dose Subcutaneous Administration",Withdrawn,,Phase 1,0,Actual,"DynPort Vaccine Company LLC, A GDIT Company",,,,Funding withdrawn,False,,,,True,,,,,,,,,,,,,2023-04-07 14:11:03.753374,2023-04-07 14:11:03.753374,INDUSTRY,,,,,
32,NCT00453778,,2007-03-27,,,2013-02-11,2007-03-28,2007-03-29,Estimate,,,,,,,2013-02-11,2013-02-12,Estimate,November 2002,,2002-11-30,February 2013,2013-02-28,May 2004,Actual,2004-05-31,May 2004,Actual,2004-05-31,,Interventional,,,A Study To Investigate The Effect Of Inhaled Fluticasone Propionate On The Bronchial Responsiveness To Leukotriene D4 In Asthmatics Patients,A Study to Investigate the Effect of Inhaled Fluticasone Propionate on the Bronchial Responsiveness to Leukotriene D4 in Asthmatics Patients,Completed,,Phase 4,14,,GlaxoSmithKline,,,,,False,,,,False,,,,,,,,,,,,,2023-04-07 14:11:24.344380,2023-04-07 14:11:24.344380,INDUSTRY,,,,,
33,NCT00143637,,2005-09-01,,,2008-03-26,2005-09-01,2005-09-02,Estimate,,,,,,,2008-03-26,2008-03-27,Estimate,May 2005,,2005-05-31,March 2008,2008-03-31,November 2006,Actual,2006-11-30,November 2006,Actual,2006-11-30,,Interventional,,,Dose Response Relations for Health Effects Caused by Office Dust,Dose Response Relations for Health Effects Caused by Office Dust.,Completed,,Phase 1/Phase 2,24,Actual,University of Aarhus,,2.0,,,False,,,,False,,,,,,,,,,,,,2023-04-07 14:11:27.238026,2023-04-07 14:11:27.238026,OTHER,,,,,
34,NCT00455806,,2007-04-03,,,2007-04-03,2007-04-03,2007-04-04,Estimate,,,,,,,2007-04-03,2007-04-04,Estimate,January 2007,,2007-01-31,March 2007,2007-03-31,February 2008,Anticipated,2008-02-29,,,,,Interventional,ESAMOX,,"Esomeprazole, Moxifloxacin and Amoxicilin for Rescue Therapy of Helicobacter Pylori Infection","Randomized, Controlled, Multicenter Phase III Study for the Efficacy and Tolerability of Triple Therapy With Esomeprazole, Moxifloxacin and Amoxicillin for Rescue Therapy of Helicobacter Pylori Infection",Unknown status,Recruiting,Phase 3,132,,Technische Universität Dresden,,,,,False,,,,True,,,,,,,,,,,,,2023-04-07 14:12:11.894642,2023-04-07 14:12:11.894642,OTHER,,,,,
35,NCT00110786,,2005-05-13,,,2010-06-16,2005-05-13,2005-05-16,Estimate,,,,,,,2010-06-16,2010-06-17,Estimate,May 2005,,2005-05-31,September 2009,2009-09-30,December 2005,,2005-12-31,,,,,Interventional,,,"Investigation of Efficacy and Safety of Ragweed MATAMPL, Pollinex-R and Placebo in Patients With Ragweed Allergy","A Double Blind Study to Investigate the Clinical Efficacy and Safety of Ragweed MATAMPL (Allergy Therapeutics®), Pollinex®-R (Allergy Therapeutics®) and Placebo in Patients With Seasonal Allergic Rhinitis With Ragweed Allergy, in an Environmental Exposure Chamber (EEC) Model, With Follow-Up During a Natural Ragweed Pollen Season",Completed,,Phase 2,240,,Allergy Therapeutics,,,,,False,,,,,,,,,,,,,,,,,2023-04-07 14:12:45.166610,2023-04-07 14:12:45.166610,INDUSTRY,,,,,
