,nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at
13,NCT02192008,,7/1/14,,,5/30/22,7/14/14,7/16/14,Estimate,,,,,,,5/30/22,6/2/22,Actual,Dec-14,,12/31/14,Jan-21,1/31/21,26-May-22,Actual,5/26/22,22-Sep-18,Actual,9/22/18,,Interventional,,,Investigating Enteric Fever - Salmonella Typhi and Paratyphi Challenge Study,Investigating the Mechanisms and Determinants of Systemic and Mucosal Immunity to Salmonella Typhi and Salmonella Paratyphi A in naïve and Previously Exposed Individuals - A Challenge and Rechallenge Study,Completed,,Not Applicable,125,Actual,University of Oxford,,2,,,FALSE,,,,TRUE,,,,,,,,,,,,,54:20.6,54:20.6
14,NCT02735707,,12/11/15,,,12/3/21,4/6/16,4/13/16,Estimate,,,,,,,12/3/21,12/21/21,Actual,11-Apr-16,Actual,4/11/16,Dec-21,12/31/21,Dec-25,Anticipated,12/31/25,Dec-23,Anticipated,12/31/23,,Interventional,REMAP-CAP,,"Randomized, Embedded, Multifactorial Adaptive Platform Trial for Community- Acquired Pneumonia","Randomized, Embedded, Multifactorial Adaptive Platform Trial for Community- Acquired Pneumonia",Recruiting,,Phase 3,10000,Anticipated,UMC Utrecht,,15,,,FALSE,,,,TRUE,TRUE,FALSE,,,FALSE,,,,,,Yes,,57:09.6,57:09.6
15,NCT04869982,,4/28/21,,,12/22/21,4/28/21,5/3/21,Actual,,,,,,,12/22/21,12/23/21,Actual,14-May-21,Actual,5/14/21,Dec-21,12/31/21,3-Feb-23,Anticipated,2/3/23,3-Feb-23,Anticipated,2/3/23,,Interventional,,,"Efficacy, Immunogenicity and Safety Study of GSKs Recombinant Zoster Vaccine Shingrix (GSK1437173A) in Chinese Adults Aged ≥50 Years","A Phase IV, Randomized, Observer-blind, Placebo-controlled, Multi-center Study to Assess the Prophylactic Efficacy Against Herpes Zoster, Immunogenicity and Safety of Shingrix When Administered Intramuscularly on a 2-dose Schedule in Chinese Adults Aged 50 Years and Older","Active, not recruiting",,Phase 4,6138,Anticipated,GlaxoSmithKline,,2,,,FALSE,,,,FALSE,FALSE,FALSE,,,FALSE,,,"IPD will be made available within 6 months of publishing the results of the primary endpoints, key secondary endpoints and safety data of the study.","Access is provided after a research proposal is submitted and has received approval from the Independent Review Panel and after a Data Sharing Agreement is in place. Access is provided for an initial period of 12 months but an extension can be granted, when justified, for up to another 12 months.",,Yes,IPD for this study will be made available via the Clinical Study Data Request site.,02:43.7,02:43.7
16,NCT04780321,,9/23/20,,,12/27/21,3/2/21,3/3/21,Actual,,,,,,,12/27/21,12/28/21,Actual,30-Oct-20,Actual,10/30/20,Dec-21,12/31/21,30-Mar-22,Anticipated,3/30/22,30-Mar-22,Anticipated,3/30/22,,Interventional,,,JS016 (Anti-SARS-CoV-2 Monoclonal Antibody)With Mild and Moderate COVID-19 or SARS-CoV-2 Asymptomatic Infection Subects,"A Randomized, Double-blind, Placebo-controlled, Phase Ib/II Clinical Study to Evaluate the Preliminary Efficacy, Safety, Pharmacokinetic Profiles and Immunogenicity of JS016 in Participants With Mild and Moderate COVID-19 or of SARS-CoV-2 Asymptomatic Infection",Recruiting,,Phase 1/Phase 2,90,Anticipated,"Shanghai Junshi Bioscience Co., Ltd.",,2,,,FALSE,,,,,FALSE,FALSE,,,,,,,,,,,03:14.3,03:14.3
17,NCT04330183,,3/23/20,,,12/22/21,3/31/20,4/1/20,Actual,,,,,,,12/22/21,12/23/21,Actual,1-Jul-20,Actual,7/1/20,Dec-21,12/31/21,1-Oct-21,Actual,10/1/21,1-Oct-21,Actual,10/1/21,,Interventional,LDK-SCD,,Low Dose Ketamine and Acute Pain Crisis,Low Dose Ketamine for Acute Pain Crisis in Patients With Sickle Cell Disease,Completed,,Phase 4,20,Actual,Rhode Island Hospital,,2,,,FALSE,,,,TRUE,TRUE,FALSE,,,TRUE,,,,,,No,No plan at this time to share IPD with other researchers.,05:28.8,05:28.8
18,NCT03840148,,2/6/19,,,12/22/21,2/12/19,2/15/19,Actual,,,,,,,12/22/21,12/23/21,Actual,7-Aug-19,Actual,8/7/19,Dec-21,12/31/21,14-Dec-21,Actual,12/14/21,6-Dec-21,Actual,12/6/21,,Interventional,CERTAIN-1,,Safety and Efficacy Study of Cefepime/VNRX-5133 in Patients With Complicated Urinary Tract Infections,"A Phase 3, Randomized, Double-blind, Active Controlled Noninferiority Study Evaluating the Efficacy, Safety, and Tolerability of Cefepime/VNRX-5133 in Adults With Complicated Urinary Tract Infections (cUTI), Including Acute Pyelonephritis",Completed,,Phase 3,661,Actual,"Venatorx Pharmaceuticals, Inc.",,2,,,FALSE,,,,TRUE,TRUE,FALSE,,,,,,,,,,,07:33.7,07:33.7
19,NCT05238272,,1/23/22,,,2/11/22,2/11/22,2/14/22,Actual,,,,,,,2/11/22,2/14/22,Actual,1-Mar-22,Anticipated,3/1/22,Jan-22,1/31/22,31-Dec-26,Anticipated,12/31/26,31-Dec-26,Anticipated,12/31/26,,Interventional,,,Novel Brain Neurotechnology for Optimizing Precision Mirror Therapy in Stroke,Novel Brain Neurotechnology for Optimizing Precision Mirror Therapy in Stroke,Recruiting,,Not Applicable,128,Anticipated,Chang Gung Memorial Hospital,,4,,,FALSE,,,,,FALSE,FALSE,,,,,,,,,,,08:32.2,08:32.2
20,NCT05048693,,9/8/21,,,2/11/22,9/8/21,9/17/21,Actual,,,,,,,2/11/22,2/14/22,Actual,1-Nov-21,Actual,11/1/21,Feb-22,2/28/22,31-May-23,Anticipated,5/31/23,31-Dec-22,Anticipated,12/31/22,,Observational,,,Use of New Antibiotics in Sweden,Use of New Antibiotics Against Multidrug-resistant Gram-negative Bacteria in Swedish University Hospitals,Recruiting,,,100,Anticipated,Uppsala University,,,,,FALSE,,,,FALSE,FALSE,FALSE,,,,Samples With DNA,Blood samples,,,,,,09:33.1,09:33.1
21,NCT04971512,,7/12/21,,,2/2/22,7/12/21,7/21/21,Actual,,,,,,,2/2/22,2/14/22,Actual,2-Aug-21,Actual,8/2/21,Feb-22,2/28/22,20-Dec-21,Actual,12/20/21,20-Dec-21,Actual,12/20/21,,Interventional,,,A 2 PART STUDY EVALUATING EDP-721 IN HEALTHY SUBJECTS AND EDP-721 IN COMBINATION WITH EDP-514 IN PATIENTS WITH CHRONIC HEPATITIS B VIRUS INFECTION.,"A Phase 1a/1b Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of Single and Multiple Ascending Doses of EDP-721 in Healthy Subjects (Part 1) and the Safety, Tolerability, Pharmacokinetics, and Antiviral Activity of EDP-721 in Combination With EDP-514 in Patients With Chronic Hepatitis B Virus Infection (Part 2)",Terminated,,Phase 1,26,Actual,Enanta Pharmaceuticals,,6,,Due to adverse safety signals in Part 1 (HV),FALSE,,,,,TRUE,FALSE,,,TRUE,,,,,,,,09:45.4,09:45.4
22,NCT04408508,,2/3/20,,,2/11/22,5/28/20,5/29/20,Actual,,,,,,,2/11/22,2/14/22,Actual,Mar-22,Anticipated,3/31/22,Feb-22,2/28/22,Jun-23,Anticipated,6/30/23,Mar-23,Anticipated,3/31/23,,Interventional,,,Safety and Efficacy of an Oral Penicillin Challenge in Low Risk Hospitalized Patients,Safety and Efficacy of an Oral Penicillin Challenge in Low Risk Hospitalized Patients,Not yet recruiting,,Not Applicable,50,Anticipated,Saskatchewan Health Authority - Regina Area,,1,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,No only agregate data will be shared,10:58.9,10:58.9
23,NCT04308278,,3/11/20,,,2/11/22,3/11/20,3/16/20,Actual,,,,,,,2/11/22,2/14/22,Actual,22-Jan-21,Actual,1/22/21,Feb-22,2/28/22,30-Oct-23,Anticipated,10/30/23,22-Sep-22,Anticipated,9/22/22,,Interventional,EBVAST,,Study to Evaluate the Efficacy of 2LEBV® and 2LXFS® on Asthenia in Patients With an Epstein-Barr Virus Infection,"Randomized, Placebo-controlled, Double Blind Study to Evaluate the Efficacy of 2LEBV® and 2LXFS® on Asthenia in Patients With an Epstein-Barr Virus Infection.",Recruiting,,Phase 4,88,Anticipated,Labo'Life,,2,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,,11:05.1,11:05.1
24,NCT04258904,,1/28/20,,,2/11/22,2/5/20,2/6/20,Actual,,,,,,,2/11/22,2/14/22,Actual,10-Mar-20,Actual,3/10/20,Feb-22,2/28/22,28-Oct-22,Anticipated,10/28/22,28-Oct-22,Anticipated,10/28/22,,Interventional,,,Prevention of Skin Problems With Diabetes Devices in Pediatric Patients,A Prospective Study of Dermatological Complications Associated With Continuous Subcutaneous Insulin Infusion and/or Continuous Glucose Monitoring in Pediatric Patients With Type 1 Diabetes,"Active, not recruiting",,Not Applicable,236,Actual,Copenhagen University Hospital at Herlev,,2,,,FALSE,,,,TRUE,FALSE,FALSE,,,FALSE,,,,,,No,,11:10.8,11:10.8
25,NCT04312438,,3/8/20,,,5/18/20,3/14/20,3/18/20,Actual,,,,,,,5/18/20,5/19/20,Actual,Jun-20,Anticipated,6/30/20,May-20,5/31/20,Mar-22,Anticipated,3/31/22,Mar-22,Anticipated,3/31/22,,Interventional,,,Safety of Oral Food Challenge With Cow's Milk Proteins in Children With Food Allergy,Safety of Oral Food Challenge With Cow's Milk Proteins in Children With Food Allergy,Unknown status,Recruiting,Not Applicable,1,Anticipated,Wroclaw Medical University,,1,,,FALSE,,,,,FALSE,FALSE,,,,,,,,,,,50:39.5,50:39.5
26,NCT04235322,,1/16/20,,,2/11/22,1/17/20,1/21/20,Actual,,,,,,,2/11/22,2/14/22,Actual,25-Jan-21,Actual,1/25/21,Feb-22,2/28/22,25-Jan-24,Anticipated,1/25/24,25-Jan-23,Anticipated,1/25/23,,Interventional,HEARTH-GEN,,Study of 2LHERP® in Genital Herpes Infections,"Randomized, Placebo-controlled, Double-blind Study to Evaluate the Efficacy of 2LHERP® in Patients With Recurrent Genital Herpes Infections",Recruiting,,Phase 4,100,Anticipated,Labo'Life,,2,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,,11:17.2,11:17.2
27,NCT04219540,,11/26/19,,,1/28/22,1/3/20,1/7/20,Actual,,,,,,,1/28/22,2/14/22,Actual,7-Jan-21,Actual,1/7/21,Jan-22,1/31/22,Apr-24,Anticipated,4/30/24,Apr-24,Anticipated,4/30/24,,Interventional,,,Long-acting Buprenorphine vs. Naltrexone Opioid Treatments in CJS-involved Adults,Long-acting Buprenorphine vs. Naltrexone Opioid Treatments in CJS-involved Adults,Recruiting,,Phase 4,301,Anticipated,NYU Langone Health,,3,,,FALSE,,,,TRUE,TRUE,FALSE,,,,,,Immediately following publication. No end date.,"Researchers who provide a methodologically sound proposal. Upon reasonable request. Requests should be directed to mia.malone@nyulangone.org. To gain access, data requestors will need to sign a data access agreement.",,Yes,"Individual participant data that underlie the results reported in this article, after deidentification (text, tables, figures, and appendices).",11:20.2,11:20.2
28,NCT02819791,,6/28/16,,,2/8/22,6/29/16,6/30/16,Estimate,,,,,,,2/8/22,2/14/22,Actual,5-Jun-14,Actual,6/5/14,Feb-22,2/28/22,14-Apr-17,Actual,4/14/17,14-Apr-17,Actual,4/14/17,,Interventional,ETHEPAT,,Impact of a Therapeutic Education Program of Patient on the Evolution of the Cardiovascular Chronic Disease,,Completed,,Not Applicable,202,Actual,"University Hospital, Bordeaux",,2,,,FALSE,,,,FALSE,,,,,,,,,,,,,13:12.4,13:12.4
29,NCT04383496,,4/29/20,,,6/6/22,5/6/20,5/12/20,Actual,,,,,,,6/6/22,6/9/22,Estimate,2-Mar-21,Actual,3/2/21,Jun-22,6/30/22,28-Jun-22,Anticipated,6/28/22,28-Jun-22,Anticipated,6/28/22,,Interventional,I CARE for Vet,,Increasing Activity for Veterans With PTSD,I CARE for Vets: InCreasing Activity & REcovery for Veterans With PTSD,"Active, not recruiting",,Phase 1,21,Actual,VA Office of Research and Development,,1,,,FALSE,,,,FALSE,FALSE,FALSE,,,FALSE,,,,,,No,,37:25.0,37:25.0
30,NCT03330158,,7/11/16,,,12/22/21,10/30/17,11/6/17,Actual,,,,,,,12/22/21,12/23/21,Actual,5-Feb-19,Actual,2/5/19,Dec-21,12/31/21,Apr-25,Anticipated,4/30/25,Feb-25,Anticipated,2/28/25,,Interventional,ASTS,,Clinical Assessment of a Motorized Spinal Distraction Rod in the Severe to Early Scoliosis Child,Clinical Assessment of a Motorized Spinal Distraction Rod in the Severe to Early Scoliosis Child,Recruiting,,Not Applicable,5,Anticipated,"University Hospital, Toulouse",,1,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,,,,No,,16:54.3,16:54.3
31,NCT02067975,,2/11/14,4/28/21,,12/21/21,2/17/14,2/20/14,Estimate,8/23/21,8/26/21,Actual,,,,12/21/21,12/23/21,Actual,Sep-14,,9/30/14,Oct-19,10/31/19,Dec-19,Actual,12/31/19,Dec-19,Actual,12/31/19,,Interventional,,,Tryptophan MRI in People With Schizophrenia and Healthy Controls,Neuroimaging of Tryptophan Challenge in People With Schizophrenia and Healthy Controls,Completed,,Phase 2/Phase 3,93,Actual,"University of Maryland, Baltimore",,2,,,FALSE,,,,TRUE,,,,,,,,,,,,,19:25.6,19:25.6
32,NCT05174234,,10/25/21,,,12/13/21,12/13/21,12/30/21,Actual,,,,,,,12/13/21,12/30/21,Actual,4-Nov-21,Actual,11/4/21,Dec-21,12/31/21,4-Nov-22,Anticipated,11/4/22,4-May-22,Anticipated,5/4/22,,Observational,ParcoursHaiti,,Precariousness and Sexual Vulnerability of People From Haiti Living With or Without HIV in French Guiana,Precariousness and Sexual Vulnerability During the Life Course and Migration of People From Haiti Living With or Without HIV in French Guiana (PARCOURS D'HAÏTI),Recruiting,,,784,Anticipated,Centre Hospitalier de Cayenne,,,2,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,Undecided,,21:44.2,21:44.2
33,NCT05172947,,11/30/21,,,12/11/21,12/11/21,12/29/21,Actual,,,,,,,12/11/21,12/29/21,Actual,5-Dec-21,Actual,12/5/21,Dec-21,12/31/21,1-Nov-22,Anticipated,11/1/22,1-Oct-22,Anticipated,10/1/22,,Interventional,,,Effect of Resveratrol and Pharmacist Intervention on Diabetes Mellitus and Its Neuropathic Complication,Impact of Resveratrol and Pharmaceutical Care on Diabetes Mellitus and Its Neuropathic Complication,Recruiting,,Not Applicable,120,Anticipated,University of Sulaimani,,4,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,,,,No,,22:16.5,22:16.5
34,NCT05172427,,9/8/21,,,12/13/21,12/13/21,12/29/21,Actual,,,,,,,12/13/21,12/29/21,Actual,15-Sep-21,Actual,9/15/21,Dec-21,12/31/21,31-Dec-22,Anticipated,12/31/22,31-Dec-22,Anticipated,12/31/22,,Interventional,CLUE,,Acceptability/Feasibility of IU Intervention,Acceptability/Feasibility Testing of an Intervention Targeting Intolerance of Uncertainty,Recruiting,,Not Applicable,45,Anticipated,Ohio University,,3,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,,22:34.6,22:34.6
35,NCT05142969,,11/21/21,,,12/13/21,12/1/21,12/3/21,Actual,,,,,,,12/13/21,12/29/21,Actual,1-Dec-21,Actual,12/1/21,Nov-21,11/30/21,31-Dec-23,Anticipated,12/31/23,1-Mar-23,Anticipated,3/1/23,,Interventional,,,Chlorhexidine Bathing to Prevent Hospital-acquired Infections: the CLEANS Study,"Effect of Chlorhexidine Bathing on Prevention of Hospital-Acquired Infections in Patients After Surgery in ICU: A Prospective, Single-Center, Single-Blind, Randomized Controlled Trial",Recruiting,,Not Applicable,247,Anticipated,Shanghai Zhongshan Hospital,,2,,,FALSE,,,,,FALSE,FALSE,,,,,,,,,,,23:18.7,23:18.7
36,NCT04852185,,3/17/21,,,12/8/21,4/15/21,4/21/21,Actual,,,,,,,12/8/21,12/29/21,Actual,24-Aug-21,Actual,8/24/21,Dec-21,12/31/21,31-Dec-24,Anticipated,12/31/24,31-Dec-24,Anticipated,12/31/24,,Interventional,TyVEGHA,,Evaluation of Typhoid Conjugate Vaccine Effectiveness in Ghana,"A Cluster-randomised Controlled Phase IV Trial Assessing the Impact of a Vi-Polysaccharide Conjugate Vaccine in Preventing Typhoid Infection in Asante Akim, Ghana (TyVEGHA)",Enrolling by invitation,,Phase 4,23000,Anticipated,International Vaccine Institute,,2,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,,,,No,Sharing can be considered on a case-by-case basis considering the intended use and impact.,24:17.9,24:17.9
